,timestamp,owner,target,friendship,romance,interaction_score,statuses
0,0001-05-01T00:00:00,2,3,10,11,3,
1,0001-05-01T00:00:00,2,13,10,11,3,
2,0001-06-01T00:00:00,2,3,19,20,3,
3,0001-06-01T00:00:00,2,13,19,20,3,
4,0001-06-01T00:00:00,2,18,7,8,2,
5,0001-06-01T00:00:00,2,12,10,11,3,
6,0001-06-01T00:00:00,2,23,10,11,3,
7,0001-06-01T00:00:00,2,4,0,0,1,BossOf
8,0001-07-01T00:00:00,2,3,28,29,3,
9,0001-07-01T00:00:00,2,13,28,29,3,
10,0001-07-01T00:00:00,2,18,13,14,2,
11,0001-07-01T00:00:00,2,12,19,20,3,
12,0001-07-01T00:00:00,2,23,19,20,3,
13,0001-07-01T00:00:00,2,4,4,5,1,BossOf
14,0001-07-01T00:00:00,2,32,7,8,2,
15,0001-07-01T00:00:00,2,7,-10,-11,3,
16,0001-08-01T00:00:00,2,3,37,38,3,
17,0001-08-01T00:00:00,2,13,37,38,3,
18,0001-08-01T00:00:00,2,18,19,20,2,
19,0001-08-01T00:00:00,2,12,28,29,3,
20,0001-08-01T00:00:00,2,23,28,29,3,
21,0001-08-01T00:00:00,2,4,7,8,1,BossOf
22,0001-08-01T00:00:00,2,32,13,14,2,
23,0001-08-01T00:00:00,2,7,-19,-20,3,
24,0001-08-01T00:00:00,2,159,10,11,4,BossOf
25,0001-08-01T00:00:00,2,6,10,11,3,
26,0001-09-01T00:00:00,2,3,46,47,3,
27,0001-09-01T00:00:00,2,13,46,47,3,
28,0001-09-01T00:00:00,2,18,25,26,2,
29,0001-09-01T00:00:00,2,12,37,38,3,
30,0001-09-01T00:00:00,2,23,37,38,3,
31,0001-09-01T00:00:00,2,4,10,11,1,BossOf
32,0001-09-01T00:00:00,2,32,19,20,2,
33,0001-09-01T00:00:00,2,7,-28,-29,3,
34,0001-09-01T00:00:00,2,159,22,23,4,BossOf
35,0001-09-01T00:00:00,2,6,19,20,3,
36,0001-09-01T00:00:00,2,20,10,11,3,
37,0001-09-01T00:00:00,2,161,10,11,3,
38,0001-10-01T00:00:00,2,3,55,56,3,
39,0001-10-01T00:00:00,2,13,55,56,3,
40,0001-10-01T00:00:00,2,18,31,32,2,
41,0001-10-01T00:00:00,2,12,46,47,3,
42,0001-10-01T00:00:00,2,23,46,47,3,
43,0001-10-01T00:00:00,2,4,13,14,1,BossOf
44,0001-10-01T00:00:00,2,32,25,26,2,
45,0001-10-01T00:00:00,2,7,-37,-38,3,
46,0001-10-01T00:00:00,2,159,34,35,4,BossOf
47,0001-10-01T00:00:00,2,6,28,29,3,
48,0001-10-01T00:00:00,2,20,19,20,3,
49,0001-10-01T00:00:00,2,161,19,20,3,
50,0001-10-01T00:00:00,2,131,7,8,2,
51,0001-10-01T00:00:00,2,148,10,11,3,
52,0001-11-01T00:00:00,2,3,64,65,3,
53,0001-11-01T00:00:00,2,13,64,65,3,
54,0001-11-01T00:00:00,2,18,37,38,2,
55,0001-11-01T00:00:00,2,12,55,56,3,
56,0001-11-01T00:00:00,2,23,55,56,3,
57,0001-11-01T00:00:00,2,4,16,17,1,BossOf
58,0001-11-01T00:00:00,2,32,31,32,2,
59,0001-11-01T00:00:00,2,7,-46,-47,3,
60,0001-11-01T00:00:00,2,159,46,47,4,BossOf
61,0001-11-01T00:00:00,2,6,37,38,3,
62,0001-11-01T00:00:00,2,20,28,29,3,
63,0001-11-01T00:00:00,2,161,28,29,3,
64,0001-11-01T00:00:00,2,131,13,14,2,
65,0001-11-01T00:00:00,2,148,19,20,3,
66,0001-11-01T00:00:00,2,130,7,8,2,
67,0001-12-01T00:00:00,2,3,73,74,3,
68,0001-12-01T00:00:00,2,13,73,74,3,
69,0001-12-01T00:00:00,2,18,43,44,2,
70,0001-12-01T00:00:00,2,12,64,65,3,
71,0001-12-01T00:00:00,2,23,64,65,3,
72,0001-12-01T00:00:00,2,4,19,20,1,BossOf
73,0001-12-01T00:00:00,2,32,37,38,2,
74,0001-12-01T00:00:00,2,7,-55,-56,3,
75,0001-12-01T00:00:00,2,159,58,59,4,BossOf
76,0001-12-01T00:00:00,2,6,46,47,3,
77,0001-12-01T00:00:00,2,20,37,38,3,
78,0001-12-01T00:00:00,2,161,37,38,3,
79,0001-12-01T00:00:00,2,131,19,20,2,
80,0001-12-01T00:00:00,2,148,28,29,3,
81,0001-12-01T00:00:00,2,130,13,14,2,
82,0001-12-01T00:00:00,2,166,10,11,3,
83,0001-12-01T00:00:00,2,162,4,5,1,
84,0002-01-01T00:00:00,2,3,82,83,3,
85,0002-01-01T00:00:00,2,13,82,83,3,
86,0002-01-01T00:00:00,2,18,49,50,2,
87,0002-01-01T00:00:00,2,12,73,74,3,
88,0002-01-01T00:00:00,2,23,73,74,3,
89,0002-01-01T00:00:00,2,4,22,23,1,BossOf
90,0002-01-01T00:00:00,2,32,43,44,2,
91,0002-01-01T00:00:00,2,7,-64,-65,3,
92,0002-01-01T00:00:00,2,159,70,71,4,BossOf
93,0002-01-01T00:00:00,2,6,55,56,3,
94,0002-01-01T00:00:00,2,20,46,47,3,
95,0002-01-01T00:00:00,2,161,46,47,3,
96,0002-01-01T00:00:00,2,131,25,26,2,
97,0002-01-01T00:00:00,2,148,37,38,3,
98,0002-01-01T00:00:00,2,130,19,20,2,
99,0002-01-01T00:00:00,2,166,19,20,3,
100,0002-01-01T00:00:00,2,162,7,8,1,
101,0002-01-01T00:00:00,2,140,4,5,1,
102,0002-02-01T00:00:00,2,3,91,92,3,
103,0002-02-01T00:00:00,2,13,91,92,3,
104,0002-02-01T00:00:00,2,18,55,56,2,
105,0002-02-01T00:00:00,2,12,82,83,3,
106,0002-02-01T00:00:00,2,23,82,83,3,
107,0002-02-01T00:00:00,2,4,25,26,1,BossOf
108,0002-02-01T00:00:00,2,32,49,50,2,
109,0002-02-01T00:00:00,2,7,-73,-74,3,
110,0002-02-01T00:00:00,2,159,82,83,4,BossOf
111,0002-02-01T00:00:00,2,6,64,65,3,
112,0002-02-01T00:00:00,2,20,55,56,3,
113,0002-02-01T00:00:00,2,161,55,56,3,
114,0002-02-01T00:00:00,2,131,31,32,2,
115,0002-02-01T00:00:00,2,148,46,47,3,
116,0002-02-01T00:00:00,2,130,25,26,2,
117,0002-02-01T00:00:00,2,166,28,29,3,
118,0002-02-01T00:00:00,2,162,10,11,1,
119,0002-02-01T00:00:00,2,140,7,8,1,
120,0002-02-01T00:00:00,2,134,10,11,3,
121,0002-02-01T00:00:00,2,467,10,11,3,
122,0002-03-01T00:00:00,2,3,100,100,3,
123,0002-03-01T00:00:00,2,13,100,100,3,
124,0002-03-01T00:00:00,2,18,61,62,2,
125,0002-03-01T00:00:00,2,12,91,92,3,
126,0002-03-01T00:00:00,2,23,91,92,3,
127,0002-03-01T00:00:00,2,4,28,29,1,BossOf
128,0002-03-01T00:00:00,2,32,55,56,2,
129,0002-03-01T00:00:00,2,7,-82,-83,3,
130,0002-03-01T00:00:00,2,159,94,95,4,BossOf
131,0002-03-01T00:00:00,2,6,73,74,3,
132,0002-03-01T00:00:00,2,20,64,65,3,
133,0002-03-01T00:00:00,2,161,64,65,3,
134,0002-03-01T00:00:00,2,131,37,38,2,
135,0002-03-01T00:00:00,2,148,55,56,3,
136,0002-03-01T00:00:00,2,130,31,32,2,
137,0002-03-01T00:00:00,2,166,37,38,3,
138,0002-03-01T00:00:00,2,162,13,14,1,
139,0002-03-01T00:00:00,2,140,10,11,1,
140,0002-03-01T00:00:00,2,134,19,20,3,
141,0002-03-01T00:00:00,2,467,19,20,3,
142,0002-03-01T00:00:00,2,447,10,11,3,
143,0002-04-01T00:00:00,2,3,100,100,3,
144,0002-04-01T00:00:00,2,13,100,100,3,
145,0002-04-01T00:00:00,2,18,67,68,2,
146,0002-04-01T00:00:00,2,12,100,100,3,
147,0002-04-01T00:00:00,2,23,100,100,3,
148,0002-04-01T00:00:00,2,4,31,32,1,BossOf
149,0002-04-01T00:00:00,2,32,61,62,2,
150,0002-04-01T00:00:00,2,7,-91,-92,3,
151,0002-04-01T00:00:00,2,159,100,100,4,BossOf
152,0002-04-01T00:00:00,2,6,82,83,3,
